Date,Time_Block,Time_Block_Label,Hour,Minute,Demand_Forecast_MW,Solar_Forecast_MW,Wind_Forecast_MW,Generation_Forecast_MW,Net_Load_Forecast_MW,DAM_Price_Forecast
2026-01-24,1,00:00 - 00:15,0,0,6133.4575,21.544878,363.9829,385.5278,5747.9297,2591.8694
2026-01-24,2,00:15 - 00:30,0,15,6088.3076,20.82156,400.2746,421.09616,5667.2114,2630.08
2026-01-24,3,00:30 - 00:45,0,30,6099.6753,21.749722,432.81387,454.5636,5645.112,2599.227
2026-01-24,4,00:45 - 01:00,0,45,6086.9185,22.042423,436.4101,458.4525,5628.466,2597.7815
2026-01-24,5,01:00 - 01:15,1,0,6130.192,21.749722,436.4101,458.15982,5672.032,2534.2344
2026-01-24,6,01:15 - 01:30,1,15,6137.1104,21.749722,436.4101,458.15982,5678.9507,2484.303
2026-01-24,7,01:30 - 01:45,1,30,6141.113,21.749722,436.4101,458.15982,5682.953,2544.9094
2026-01-24,8,01:45 - 02:00,1,45,6134.7256,21.749722,436.4101,458.15982,5676.566,2590.9077
2026-01-24,9,02:00 - 02:15,2,0,6147.738,21.749722,436.44653,458.19626,5689.5415,2574.5222
2026-01-24,10,02:15 - 02:30,2,15,6153.698,21.749722,436.44653,458.19626,5695.502,2569.3386
2026-01-24,11,02:30 - 02:45,2,30,6155.69,21.749722,436.44653,458.19626,5697.4937,2517.3425
2026-01-24,12,02:45 - 03:00,2,45,6151.3315,21.749722,436.44653,458.19626,5693.1353,2488.9983
2026-01-24,13,03:00 - 03:15,3,0,6148.1123,21.749722,417.17004,438.91977,5709.1924,2485.262
2026-01-24,14,03:15 - 03:30,3,15,6139.7344,21.749722,419.76227,441.512,5698.222,2462.5305
2026-01-24,15,03:30 - 03:45,3,30,6144.093,21.749722,419.76227,441.512,5702.5806,2438.6592
2026-01-24,16,03:45 - 04:00,3,45,6144.093,21.749722,419.76227,441.512,5702.5806,2473.1982
2026-01-24,17,04:00 - 04:15,4,0,6204.483,21.749722,402.47394,424.22366,5780.2593,2481.3618
2026-01-24,18,04:15 - 04:30,4,15,6201.667,21.749722,396.74365,418.49338,5783.174,2472.4788
2026-01-24,19,04:30 - 04:45,4,30,6229.926,21.749722,396.74365,418.49338,5811.4326,2507.5566
2026-01-24,20,04:45 - 05:00,4,45,6241.3184,21.749722,396.74365,418.49338,5822.825,2701.5608
2026-01-24,21,05:00 - 05:15,5,0,6255.6533,21.749722,313.06824,334.81796,5920.8354,2838.0195
2026-01-24,22,05:15 - 05:30,5,15,6248.16,21.749722,289.33496,311.0847,5937.0757,2762.3867
2026-01-24,23,05:30 - 05:45,5,30,6247.6875,21.749722,286.7965,308.54623,5939.141,2910.7832
2026-01-24,24,05:45 - 06:00,5,45,6249.6655,21.749722,286.7965,308.54623,5941.119,3103.114
2026-01-24,25,06:00 - 06:15,6,0,6264.7905,68.916794,277.12698,346.04376,5918.7466,3348.3123
2026-01-24,26,06:15 - 06:30,6,15,6263.285,68.41926,277.12698,345.54623,5917.739,3743.6865
2026-01-24,27,06:30 - 06:45,6,30,6261.308,67.49108,277.69693,345.18802,5916.12,3800.433
2026-01-24,28,06:45 - 07:00,6,45,6261.308,67.49108,277.69693,345.18802,5916.12,3837.489
2026-01-24,29,07:00 - 07:15,7,0,6261.3936,103.205666,270.73795,373.9436,5887.45,5869.518
2026-01-24,30,07:15 - 07:30,7,15,6261.3936,103.70533,270.73795,374.44327,5886.95,6665.7573
2026-01-24,31,07:30 - 07:45,7,30,6261.3936,104.01755,270.73795,374.7555,5886.638,8319.299
2026-01-24,32,07:45 - 08:00,7,45,6261.3936,104.01755,270.73795,374.7555,5886.638,8259.544
2026-01-24,33,08:00 - 08:15,8,0,6250.7417,101.77858,270.29797,372.07654,5878.665,6723.89
2026-01-24,34,08:15 - 08:30,8,15,6250.7417,101.77858,270.29797,372.07654,5878.665,5301.6953
2026-01-24,35,08:30 - 08:45,8,30,6250.7417,101.77858,270.29797,372.07654,5878.665,6130.4146
2026-01-24,36,08:45 - 09:00,8,45,6250.7417,101.77858,270.29797,372.07654,5878.665,4426.951
2026-01-24,37,09:00 - 09:15,9,0,6193.024,101.68731,270.29797,371.9853,5821.0386,4260.3613
2026-01-24,38,09:15 - 09:30,9,15,6197.027,101.68731,270.29797,371.9853,5825.0415,3974.6106
2026-01-24,39,09:30 - 09:45,9,30,6180.832,101.33092,270.29797,371.6289,5809.203,3174.6772
2026-01-24,40,09:45 - 10:00,9,45,6203.4556,101.33092,270.29797,371.6289,5831.8267,2669.2559
2026-01-24,41,10:00 - 10:15,10,0,6133.1733,105.27389,270.29797,375.57187,5757.6016,2462.409
2026-01-24,42,10:15 - 10:30,10,15,6150.3545,106.15866,270.29797,376.45663,5773.898,2499.9038
2026-01-24,43,10:30 - 10:45,10,30,6133.6997,106.15866,270.29797,376.45663,5757.243,2413.6997
2026-01-24,44,10:45 - 11:00,10,45,6116.341,106.15866,270.29797,376.45663,5739.8843,2255.1416
2026-01-24,45,11:00 - 11:15,11,0,6118.8994,102.148056,270.29797,372.44604,5746.453,2372.191
2026-01-24,46,11:15 - 11:30,11,15,6108.2637,102.148056,270.29797,372.44604,5735.8174,2287.0115
2026-01-24,47,11:30 - 11:45,11,30,6101.04,102.148056,270.29797,372.44604,5728.5938,2249.147
2026-01-24,48,11:45 - 12:00,11,45,6102.8213,103.62598,270.29797,373.92395,5728.8975,2153.3433
2026-01-24,49,12:00 - 12:15,12,0,6087.9644,97.737015,271.1753,368.9123,5719.0522,2078.7305
2026-01-24,50,12:15 - 12:30,12,15,6090.255,97.23735,271.1753,368.41266,5721.8423,2078.7305
2026-01-24,51,12:30 - 12:45,12,30,6091.927,96.84219,271.1753,368.0175,5723.909,2097.0918
2026-01-24,52,12:45 - 13:00,12,45,6091.927,97.50504,271.1753,368.68033,5723.2466,1867.9324
2026-01-24,53,13:00 - 13:15,13,0,6094.181,93.2689,277.70886,370.97775,5723.2036,1874.1792
2026-01-24,54,13:15 - 13:30,13,15,6094.181,93.2689,277.70886,370.97775,5723.2036,1874.1061
2026-01-24,55,13:30 - 13:45,13,30,6094.181,93.2689,277.70886,370.97775,5723.2036,1900.7867
2026-01-24,56,13:45 - 14:00,13,45,6094.181,93.21735,277.70886,370.9262,5723.255,1902.9968
2026-01-24,57,14:00 - 14:15,14,0,6139.525,96.05959,278.1838,374.2434,5765.2812,1727.3944
2026-01-24,58,14:15 - 14:30,14,15,6146.3804,96.05959,278.1838,374.2434,5772.1367,1747.5297
2026-01-24,59,14:30 - 14:45,14,30,6147.1567,97.89959,278.1838,376.0834,5771.073,1735.587
2026-01-24,60,14:45 - 15:00,14,45,6147.1567,95.23563,278.1838,373.41943,5773.7373,1787.1503
2026-01-24,61,15:00 - 15:15,15,0,6228.385,93.827835,291.40625,385.23407,5843.151,1980.3176
2026-01-24,62,15:15 - 15:30,15,15,6255.3247,93.827835,299.59192,393.41974,5861.905,2103.9124
2026-01-24,63,15:30 - 15:45,15,30,6259.746,93.827835,299.02197,392.8498,5866.8965,2257.4028
2026-01-24,64,15:45 - 16:00,15,45,6249.438,93.827835,299.02197,392.8498,5856.5884,2289.4905
2026-01-24,65,16:00 - 16:15,16,0,6276.046,84.13331,338.034,422.1673,5853.8784,2258.7505
2026-01-24,66,16:15 - 16:30,16,15,6297.438,84.13331,336.82477,420.95807,5876.48,2474.6416
2026-01-24,67,16:30 - 16:45,16,30,6328.6016,83.40238,332.59085,415.99323,5912.6084,2792.666
2026-01-24,68,16:45 - 17:00,16,45,6334.7065,83.40238,333.80008,417.20245,5917.504,2824.4646
2026-01-24,69,17:00 - 17:15,17,0,6342.0386,61.204937,366.76517,427.9701,5914.0684,2889.561
2026-01-24,70,17:15 - 17:30,17,15,6319.654,61.204937,366.72867,427.9336,5891.72,3244.5125
2026-01-24,71,17:30 - 17:45,17,30,6321.2925,61.204937,365.5756,426.78052,5894.5117,3756.786
2026-01-24,72,17:45 - 18:00,17,45,6343.6772,61.204937,365.5756,426.78052,5916.8965,6940.837
2026-01-24,73,18:00 - 18:15,18,0,6317.6,24.476002,392.49667,416.9727,5900.6274,7548.0693
2026-01-24,74,18:15 - 18:30,18,15,6296.854,24.476002,402.31894,426.79495,5870.059,7436.1553
2026-01-24,75,18:30 - 18:45,18,30,6301.921,24.968616,412.36197,437.3306,5864.5903,7561.4487
2026-01-24,76,18:45 - 19:00,18,45,6319.934,24.968616,412.36197,437.3306,5882.6035,6739.065
2026-01-24,77,19:00 - 19:15,19,0,6296.7114,23.52227,413.80154,437.32382,5859.3877,6849.302
2026-01-24,78,19:15 - 19:30,19,15,6293.5166,23.52227,413.80154,437.32382,5856.193,6495.5806
2026-01-24,79,19:30 - 19:45,19,30,6276.3516,23.625572,413.80154,437.42712,5838.9243,4099.544
2026-01-24,80,19:45 - 20:00,19,45,6268.4697,23.625572,413.80154,437.42712,5831.0425,3652.2644
2026-01-24,81,20:00 - 20:15,20,0,6168.5625,23.625572,417.06815,440.69373,5727.8687,3629.8003
2026-01-24,82,20:15 - 20:30,20,15,6162.5044,23.625572,421.69775,445.32333,5717.181,3723.8193
2026-01-24,83,20:30 - 20:45,20,30,6138.4214,23.625572,421.69775,445.32333,5693.098,3578.0972
2026-01-24,84,20:45 - 21:00,20,45,6133.0015,23.625572,421.69775,445.32333,5687.678,3522.3716
2026-01-24,85,21:00 - 21:15,21,0,6082.5947,23.720615,422.33252,446.05313,5636.5415,3398.062
2026-01-24,86,21:15 - 21:30,21,15,6102.4756,23.720615,422.33252,446.05313,5656.4224,3432.6821
2026-01-24,87,21:30 - 21:45,21,30,6090.266,23.720615,422.33252,446.05313,5644.213,3398.7688
2026-01-24,88,21:45 - 22:00,21,45,6089.338,23.720615,422.33252,446.05313,5643.2847,3374.2637
2026-01-24,89,22:00 - 22:15,22,0,6053.49,23.720615,403.73013,427.45074,5626.0396,3224.5642
2026-01-24,90,22:15 - 22:30,22,15,6051.0303,23.720615,399.10052,422.82114,5628.209,3149.5298
2026-01-24,91,22:30 - 22:45,22,30,6061.3237,23.720615,399.10052,422.82114,5638.5024,2994.1465
2026-01-24,92,22:45 - 23:00,22,45,6061.3237,23.720615,399.10052,422.82114,5638.5024,2969.9868
2026-01-24,93,23:00 - 23:15,23,0,6024.484,23.720615,397.17548,420.8961,5603.588,2805.6633
